SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
G208,1937,0.62,0.12,49.78,0.50,-0.21,-0.92,1.70,-0.30
G212,1937,0.39,0.07,51.52,0.32,-0.41,-1.14,1.71,-0.50
G213,1937,0.40,0.06,48.64,0.34,-0.40,-1.22,1.69,-0.47
G214,1937,0.34,0.05,34.97,0.29,-0.47,-1.30,1.54,-0.54
G216,1937,0.71,0.09,25.19,0.62,-0.15,-1.05,1.40,-0.21
G217,1937,0.40,0.08,51.42,0.32,-0.40,-1.09,1.71,-0.50
G221,1937,0.91,0.17,78.65,0.74,-0.04,-0.77,1.90,-0.13
G301,1937,0.42,0.08,48.02,0.33,-0.38,-1.09,1.68,-0.48
G302,1937,0.35,0.11,50.57,0.24,-0.46,-0.96,1.70,-0.62
G306,1937,0.35,0.07,35.63,0.27,-0.46,-1.14,1.55,-0.57
G311,1937,0.57,0.07,44.72,0.50,-0.24,-1.15,1.65,-0.30
G313,1937,0.69,0.25,68.54,0.44,-0.16,-0.60,1.84,-0.35
G315,1937,0.47,0.07,51.41,0.40,-0.33,-1.14,1.71,-0.40
G319,1937,0.10,0.05,34.01,0.05,-0.99,-1.29,1.53,-1.29
G321,1937,0.27,0.11,58.50,0.16,-0.57,-0.96,1.77,-0.80
G431,1937,0.51,0.15,66.53,0.36,-0.29,-0.82,1.82,-0.44
G433,1937,0.26,0.07,29.06,0.19,-0.58,-1.15,1.46,-0.72
G434,1937,0.25,0.06,13.08,0.19,-0.60,-1.21,1.12,-0.72
G436,1937,0.22,0.06,30.97,0.16,-0.65,-1.21,1.49,-0.79
G437,1937,0.20,0.07,37.90,0.13,-0.69,-1.15,1.58,-0.88
G438,1937,0.16,0.05,40.44,0.10,-0.80,-1.27,1.61,-0.98
G439,1937,0.29,0.05,20.38,0.24,-0.53,-1.29,1.31,-0.62
G440,1937,0.26,0.06,23.88,0.20,-0.59,-1.22,1.38,-0.70
G501,1937,0.72,0.14,59.83,0.57,-0.14,-0.84,1.78,-0.24
B08,1938,1.09,0.50,71.03,0.59,0.04,-0.30,1.85,-0.23
B14,1938,0.42,0.10,50.14,0.32,-0.37,-1.00,1.70,-0.49
B15,1938,0.78,0.24,66.79,0.54,-0.11,-0.62,1.82,-0.27
B16,1938,0.51,0.15,66.47,0.37,-0.29,-0.84,1.82,-0.44
B18,1938,0.65,0.27,61.72,0.38,-0.19,-0.57,1.79,-0.42
G114,1938,0.26,0.06,67.06,0.20,-0.59,-1.21,1.83,-0.71
G127,1938,0.27,0.06,61.11,0.21,-0.57,-1.22,1.79,-0.68
G128,1938,0.37,0.10,53.53,0.27,-0.43,-1.00,1.73,-0.57
G130,1938,0.32,0.15,75.14,0.17,-0.50,-0.82,1.88,-0.78
G201,1938,2.93,1.27,62.75,1.66,0.47,0.10,1.80,0.22
G202,1938,3.49,1.66,65.61,1.82,0.54,0.22,1.82,0.26
G204,1938,0.66,0.20,90.83,0.46,-0.18,-0.69,1.96,-0.34
G205,1938,0.75,0.35,67.25,0.39,-0.13,-0.45,1.83,-0.41
G207,1938,0.47,0.19,37.52,0.28,-0.33,-0.71,1.57,-0.56
G208,1938,0.71,0.19,57.25,0.52,-0.15,-0.72,1.76,-0.28
G212,1938,0.30,0.10,62.27,0.19,-0.53,-0.98,1.79,-0.71
G213,1938,0.51,0.15,60.66,0.36,-0.29,-0.82,1.78,-0.44
G214,1938,0.27,0.09,52.87,0.18,-0.56,-1.04,1.72,-0.74
G216,1938,1.29,0.39,56.37,0.90,0.11,-0.41,1.75,-0.05
G217,1938,0.42,0.11,58.08,0.31,-0.38,-0.95,1.76,-0.51
G221,1938,0.85,0.21,79.85,0.64,-0.07,-0.68,1.90,-0.19
G301,1938,0.55,0.12,63.89,0.43,-0.26,-0.92,1.81,-0.36
G302,1938,0.47,0.12,76.34,0.35,-0.33,-0.92,1.88,-0.46
G306,1938,0.25,0.09,53.91,0.16,-0.60,-1.05,1.73,-0.79
G311,1938,0.50,0.15,71.61,0.35,-0.30,-0.82,1.85,-0.45
G313,1938,0.73,0.16,45.69,0.57,-0.14,-0.80,1.66,-0.24
G315,1938,0.77,0.25,74.18,0.52,-0.11,-0.60,1.87,-0.28
G319,1938,0.16,0.05,38.95,0.11,-0.79,-1.29,1.59,-0.96
G321,1938,0.35,0.10,76.64,0.25,-0.46,-1.00,1.88,-0.60
G431,1938,0.46,0.15,71.04,0.31,-0.33,-0.82,1.85,-0.50
G433,1938,0.21,0.05,44.55,0.16,-0.68,-1.30,1.65,-0.80
G434,1938,0.24,0.09,37.37,0.15,-0.62,-1.05,1.57,-0.82
G436,1938,0.28,0.09,51.81,0.19,-0.55,-1.04,1.71,-0.72
G437,1938,0.28,0.09,56.09,0.19,-0.56,-1.07,1.75,-0.71
G438,1938,0.22,0.07,52.70,0.15,-0.66,-1.14,1.72,-0.84
G439,1938,0.38,0.10,55.28,0.28,-0.42,-1.00,1.74,-0.55
G440,1938,0.10,0.04,42.73,0.06,-1.00,-1.40,1.63,-1.22
G501,1938,0.85,0.30,65.38,0.55,-0.07,-0.52,1.82,-0.26
B08,1939,1.31,0.72,65.51,0.59,0.12,-0.14,1.82,-0.23
B14,1939,0.69,0.23,60.25,0.45,-0.16,-0.64,1.78,-0.34
B15,1939,0.81,0.30,63.10,0.51,-0.09,-0.52,1.80,-0.29
B16,1939,0.74,0.30,75.38,0.44,-0.13,-0.53,1.88,-0.36
B18,1939,0.78,0.30,62.23,0.48,-0.11,-0.53,1.79,-0.32
G114,1939,0.38,0.10,76.99,0.28,-0.42,-0.99,1.89,-0.56
G127,1939,0.30,0.10,64.74,0.20,-0.52,-1.00,1.81,-0.70
G128,1939,0.51,0.15,58.13,0.36,-0.29,-0.82,1.76,-0.44
G130,1939,0.24,0.07,58.94,0.17,-0.62,-1.15,1.77,-0.77
G201,1939,2.82,1.43,57.20,1.40,0.45,0.15,1.76,0.14
G202,1939,3.04,1.62,60.70,1.42,0.48,0.21,1.78,0.15
G204,1939,0.94,0.21,92.60,0.73,-0.03,-0.67,1.97,-0.14
G205,1939,0.84,0.25,80.77,0.59,-0.07,-0.60,1.91,-0.23
G207,1939,0.28,0.10,23.66,0.18,-0.55,-1.00,1.37,-0.74
G208,1939,1.25,0.38,70.12,0.87,0.10,-0.42,1.85,-0.06
G212,1939,0.48,0.16,74.73,0.32,-0.32,-0.80,1.87,-0.49
G213,1939,0.64,0.17,65.05,0.47,-0.19,-0.77,1.81,-0.33
G214,1939,0.28,0.07,52.64,0.21,-0.55,-1.15,1.72,-0.68
G216,1939,1.51,0.38,60.00,1.13,0.18,-0.42,1.78,0.05
G217,1939,0.40,0.09,54.64,0.30,-0.40,-1.04,1.74,-0.52
G221,1939,0.95,0.20,81.26,0.74,-0.02,-0.70,1.91,-0.13
G301,1939,0.79,0.22,73.83,0.56,-0.10,-0.65,1.87,-0.25
G302,1939,0.90,0.28,89.98,0.62,-0.05,-0.55,1.95,-0.21
G306,1939,0.46,0.11,73.73,0.35,-0.34,-0.95,1.87,-0.46
G311,1939,0.90,0.24,81.77,0.66,-0.04,-0.62,1.91,-0.18
G313,1939,0.94,0.23,50.87,0.71,-0.03,-0.64,1.71,-0.15
G315,1939,0.77,0.22,79.16,0.54,-0.12,-0.66,1.90,-0.26
G319,1939,0.10,0.06,38.97,0.04,-1.00,-1.21,1.59,-1.40
G321,1939,0.35,0.12,84.81,0.23,-0.45,-0.92,1.93,-0.64
G431,1939,0.60,0.15,68.03,0.45,-0.22,-0.82,1.83,-0.34
G433,1939,0.25,0.09,54.13,0.16,-0.60,-1.04,1.73,-0.80
G434,1939,0.22,0.08,45.53,0.14,-0.66,-1.09,1.66,-0.85
G436,1939,0.32,0.10,60.44,0.22,-0.49,-1.00,1.78,-0.65
G437,1939,0.32,0.09,59.89,0.23,-0.49,-1.04,1.78,-0.64
G438,1939,0.15,0.07,60.73,0.08,-0.82,-1.15,1.78,-1.09
G439,1939,0.43,0.11,57.00,0.32,-0.37,-0.96,1.76,-0.49
G440,1939,0.23,0.09,53.20,0.14,-0.64,-1.05,1.73,-0.85
G501,1939,1.03,0.29,70.43,0.74,0.01,-0.54,1.85,-0.13
B01,1943,1.84,0.33,57.62,1.51,0.26,-0.48,1.76,0.18
B07,1943,0.21,0.09,45.35,0.12,-0.68,-1.05,1.66,-0.92
B11,1943,0.48,0.16,83.92,0.32,-0.32,-0.80,1.92,-0.49
B12,1943,0.47,0.16,45.20,0.32,-0.32,-0.80,1.66,-0.50
B14,1943,0.62,0.17,62.66,0.45,-0.21,-0.77,1.80,-0.34
G114,1943,0.68,0.18,92.54,0.50,-0.17,-0.76,1.97,-0.30
G127,1943,0.96,0.18,74.25,0.78,-0.02,-0.74,1.87,-0.11
G128,1943,1.07,0.24,73.53,0.83,0.03,-0.61,1.87,-0.08
G130,1943,0.40,0.10,60.57,0.30,-0.39,-1.00,1.78,-0.52
